model,encoding,split,MAE,RMSE,R2
linear_regression,onehot_scaled,train,0.06432694679208979,0.09824129572723626,0.9880041453667624
linear_regression,onehot_scaled,val,0.08322699117855073,0.14724137121707767,0.9736711607162155
linear_regression,onehot_scaled,test,0.0780564706657547,0.13270571198696393,0.9772486591545699
ridge,onehot_scaled,train,0.07130678282517684,0.10823572118046149,0.9854392327095811
ridge,onehot_scaled,val,0.08482404203860333,0.1435738969339532,0.9749664187299807
ridge,onehot_scaled,test,0.07918366697517039,0.12689062600435638,0.9791988740376567
lasso,onehot_scaled,train,0.1826570737580626,0.26675309361661453,0.9115573065578915
lasso,onehot_scaled,val,0.1841860589843035,0.2638995540482146,0.9154235758100414
lasso,onehot_scaled,test,0.17481303048361513,0.2499763829653046,0.9192717155357204
elasticnet,onehot_scaled,train,0.16249974222248167,0.24316930827734107,0.9265045337485168
elasticnet,onehot_scaled,val,0.1641710230568652,0.24029018349212308,0.9298796516259195
elasticnet,onehot_scaled,test,0.15538703577466584,0.22654316269811015,0.9336975338399143
knn_5,onehot_scaled,train,0.0853328254456694,0.155084127896858,0.9701064333198434
knn_5,onehot_scaled,val,0.11322355869598569,0.20087317070930355,0.9509977663682433
knn_5,onehot_scaled,test,0.10204937560646961,0.17871878622504586,0.9587362991278586
knn_15,onehot_scaled,train,0.12601544507235732,0.21120190931600952,0.9445580227089762
knn_15,onehot_scaled,val,0.1392175566401737,0.22968327946428763,0.9359335340570513
knn_15,onehot_scaled,test,0.12879932033637045,0.2150746779133697,0.9402405865146604
decision_tree,ordinal,train,0.05921899938097787,0.11699716377458513,0.9829864987170953
decision_tree,ordinal,val,0.09528918900040714,0.18118539087861224,0.9601325588809989
decision_tree,ordinal,test,0.08847943340548677,0.16355083610865456,0.9654432173558114
random_forest,ordinal,train,0.03367060081908277,0.07133166789550889,0.9936757680710258
random_forest,ordinal,val,0.07124598094402643,0.13547100365397158,0.9777123282097965
random_forest,ordinal,test,0.06681654382034062,0.13277968656298808,0.9772232873773693
extra_trees,ordinal,train,0.025670526561594815,0.047010234204417495,0.9972531948037363
extra_trees,ordinal,val,0.06566531295158165,0.1289478922915826,0.9798070159331743
extra_trees,ordinal,test,0.06172834611581413,0.11915045659036252,0.9816591615357345
gradient_boosting,ordinal,train,0.14925445187463854,0.20876037530502412,0.9458324530392148
gradient_boosting,ordinal,val,0.15609896832076836,0.22468865842101518,0.9386895774493142
gradient_boosting,ordinal,test,0.15165425330294174,0.21874899072343207,0.9381812983021831
hist_gradient_boosting,ordinal,train,0.08281977790260327,0.1245022045218639,0.9807337534589718
hist_gradient_boosting,ordinal,val,0.09430339064428088,0.14977518980208518,0.972757198610452
hist_gradient_boosting,ordinal,test,0.0899017853447858,0.14358330316396434,0.9733660460624975
xgboost,ordinal,train,0.06230137510865521,0.08699449603351281,0.9905935319715664
xgboost,ordinal,val,0.0834109040908966,0.13678155544926945,0.9772790187530382
xgboost,ordinal,test,0.08043379063606446,0.13375624088396582,0.9768870237236038
lightgbm,ordinal,train,0.06893713085734018,0.10105264219496624,0.9873077570278626
lightgbm,ordinal,val,0.08578209262700204,0.14043844840909767,0.9760478748445625
lightgbm,ordinal,test,0.08004970168836764,0.12996365430722678,0.9781791535815814
decision_tree,target,train,0.04894562830022605,0.08657465652136892,0.9906841049985702
decision_tree,target,val,0.09421899207318729,0.20170327581802713,0.9505919276705004
decision_tree,target,test,0.09177902701469783,0.2176799969227035,0.938784019601977
random_forest,target,train,0.029219707990017097,0.05510856804521918,0.9962253100630961
random_forest,target,val,0.07712321349998158,0.18511378724309543,0.9583850344676106
random_forest,target,test,0.07634938087254721,0.20036389118069078,0.9481359199742097
extra_trees,target,train,0.02317323409161182,0.04075615172038117,0.9979354311465161
extra_trees,target,val,0.07021100443151557,0.1597282833642112,0.9690161304534617
extra_trees,target,test,0.06710683324772766,0.16619349327900418,0.9643174570643684
gradient_boosting,target,train,0.10505382604135516,0.14731367099595502,0.9730270073037172
gradient_boosting,target,val,0.12058469482314124,0.19452137410839362,0.9540477623183184
gradient_boosting,target,test,0.11887942448075951,0.20470768679206058,0.9458627656653172
hist_gradient_boosting,target,train,0.06522490366084342,0.09722472159496902,0.9882511205687231
hist_gradient_boosting,target,val,0.08905918937637679,0.17921119144293024,0.9609966184701899
hist_gradient_boosting,target,test,0.0884730219426395,0.18864263422777677,0.9540265105349482
xgboost,target,train,0.04919836169517918,0.0684348853034222,0.9941789930468707
xgboost,target,val,0.07844099634239853,0.16028116937100498,0.9688012631109731
xgboost,target,test,0.0780390890013356,0.1713212567862091,0.962081576975713
lightgbm,target,train,0.05547903740855406,0.08180888942294436,0.9916815190823113
lightgbm,target,val,0.08144538511968,0.1651309677772169,0.9668846721280421
lightgbm,target,test,0.08139899075616244,0.17509324650283228,0.9603934918997965
