names,prices,location,brand,model,year,status,odo,origin,style,transmission,engine,exterior_color,interior_color,seats,doors,drive,description
Mitsubishi Xpander 1.5 AT - 2020,435 Triệu,Hà Nội,"Mitsubishi
Loading...",Xpander,2020,Xe đã dùng,"73,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Trắng,Nâu,7 chỗ,5 cửa,FWD - Dẫn động cầu trước,xpa 7 chỗ cuối 2020 giá 4x nhỏ ti đẹp long lanh nhập khẩu xe thật mới phun xe 1 chủ lốp mới gđ đi giữ zim rứt mới zialo
Mercedes Benz GLC 300 4Matic - 2023,2 Tỷ 378 Triệu,TP HCM,"Mercedes Benz
Loading...",GLC,2023,Xe đã dùng,"9,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Nâu,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Mercedes GLC300 4Matic V1 siêu lướt 9.000km cực đẹp.
- Màu đen nội thất nâu.
- Siêu lướt 9.000km như xe thùng.
- Bản update V1 có Head-up Display (HUD) hiển thị tốc độ, hướng dẫn chỉ đường và cảnh báo an toàn trực tiếp trên kính lái.
Định Giá - Mua Bán - Trao đổi tất cả các dòng xe."
BMW 3 Series 330i M Sport - 2024,1 Tỷ 778 Triệu,TP HCM,"BMW
Loading...",3 Series,2024,Xe đã dùng,"23,456 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Xám,Đen,5 chỗ,4 cửa,RFD - Dẫn động cầu sau,"BMW_330i_MSport_LCI Sản xuất 2024. Odo 23.456 km ( Chất xe siêu đẹp )

 Màu Xám / nội thất Đen
 Lên đồ chơi 100tr: Pô Red, camera 360 chính hãng.
 Trang bị: Đèn Laserlight, mâm 18 inch, ghế da Alcantara kết hợp Senstec cao cấp, ốp nhôm thể thao, màn hình cảm ứng 10.25 inch, 16 loa Harman Kardon, Apple CarPlay/Android Auto không dây, cửa sổ trời, kín cách âm 2 lớp, HUD, camera 360,...

 Bảo hành chính hãng không giới hạn km ,Bao test hãng Toàn Quốc.
 Tặng ngay gói chăm sóc xe và phủ Ceramic cao cấp .
 CAM KẾT : xe không đâm đụng, không ngập nước, km chuẩn.
 Ngân hàng hỗ trợ 70% _90% .

Phát Đạt Luxury Car
Địa chỉ: Số 1 Đường Số 13, KDC Phú Mỹ, P. Tân Mỹ (P. Phú Mỹ cũ), Q.7, Tp.HCM."
Toyota Previa GL 2.4 AT - 2010,580 Triệu,TP HCM,"Toyota
Loading...",Previa,2010,Xe đã dùng,"90,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Xăng  2.4 L,Cát,Kem,7 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Toyota previa 2010. Hàng nhập. Hàng sưu tầm rất hiếm trên thị trường. Sản xuất đến 2020 không còn sx nữa. Từ 2009 đến 2020 giống nhau không khác một chút nào. Bởi vậy xe nó rất còn giá trị. Fulloption gồm: Nệm da, 2 sunroof. 3 cửa điện, Mâm đúc, Rửa đèn, Chìa khóa thông minh, Camera de 360%. Xe nhà trùm mền ít sử dụng nên còn rất mới. Toàn bộ còn zin theo xe. Xem thích ngay."
Kia Rio 1.4 AT - 2016,330 Triệu,Hà Nội,"Kia
Loading...",Rio,2016,Xe đã dùng,"50,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.4 L,Đỏ,Kem,5 chỗ,4 cửa,FWD - Dẫn động cầu trước,"Kia Rio 2016 odo 5v km 
Xe trang bị: Hệ thống giải trí trên xe gồm màn hình trung tâm 8 inch, đầu DVD, hệ thống âm thanh 6 loa và kết nối AUX, USB, iPod, Bluetooth, điều hòa chỉnh tay làm mát nhanh chóng.
Các trang bị an toàn trên xe có thể kể đến 2 túi khí, camera lùi, điều khiển hành trình, hệ thống bó cứng phanh, hệ thống phân phối lực phanh điện tử, khóa cửa trung tâm và khóa cửa từ xa.

- Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc.
- Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng.
- Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe

Liên hệ để biết thêm thông tin xe"
Ford Everest 2.5L 4x2 MT - 2010,240 Triệu,TP HCM,"Ford
Loading...",Everest,2010,Xe đã dùng,"180,000 Km",Lắp ráp trong nước,SUV,Số tay,Dầu  2.5 L,Đen,Kem,7 chỗ,5 cửa,RFD - Dẫn động cầu sau,"FORD EVEREST 20010, MÁY DẦU, SỐ SÀN, 
Xe đẹp, ko tai nạn, ngập nước...
Máy móc êm ái..
Nội thất còn rất đẹp, gầm đẹp, thân vỏ chắc chắn không mục mọt 
Bao rút hồ sơ 
Liên hệ để biết thêm thông tin chi tiết và có giá tốt nhất"
Mercedes Benz C class C300 AMG - 2022,1 Tỷ 679 Triệu,TP HCM,"Mercedes Benz
Loading...",C class,2022,Xe đã dùng,"41,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đen,Đen,5 chỗ,4 cửa,RFD - Dẫn động cầu sau,"#Mercedes_C300_AMG All New sản xuất 2022 nhập Đức lăn bánh chỉ 41.000 km. 

Bảo dưỡng full hãng , không một lỗi nhỏ , chỉ có 132 chiếc lăn bánh tại Việt Nam."
Lexus RX 350L - 2019,3 Tỷ 80 Triệu,TP HCM,"Lexus
Loading...",RX,2019,Xe đã dùng,"58,154 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.5 L,Trắng,Nâu,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Lexus RX350L phiên bản 7 chỗ, sản xuất năm 2019, nhập khẩu từ Nhật Bản một chủ mua mới từ đầu.
 Xe sử dụng động cơ xăng V6 3.5L, công suất 290 mã lực, kết hợp hộp số tự động 8 cấp, mang đến khả năng vận hành êm ái, ổn định và tiết kiệm nhiên liệu.
Ngoại thất nổi bật với lưới tản nhiệt con suốt mạ chrome đặc trưng, đèn pha LED sắc sảo tích hợp dải LED ban ngày, mâm hợp kim đa chấu 20 inch, cửa sổ trời và cốp điện thông minh.
Khoang nội thất được hoàn thiện bằng da cao cấp và ốp gỗ tinh tế. Cấu hình 7 chỗ ngồi linh hoạt, ghế trước chỉnh điện đa hướng có sưởi, làm mát và nhớ vị trí. Hàng ghế thứ ba gập điện giúp mở rộng khoang hành lý. Xe có điều hòa tự động 3 vùng, rèm che nắng và hệ thống âm thanh Mark Levinson 15 loa, công suất 835 watt, mang lại trải nghiệm âm nhạc sống động.

Về công nghệ, RX350L 2019 sở hữu gói an toàn Lexus Safety System+ với phanh tự động khẩn cấp, cảnh báo lệch làn, hỗ trợ giữ làn, kiểm soát hành trình chủ động bằng radar và đèn pha tự động thích ứng. xe còn có camera 360 độ, cảm biến quanh xe…."
Mazda CX5 Premium Sport 2.0 AT - 2025,830 Triệu,Hà Nội,"Mazda
Loading...",CX5,2025,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Xanh,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Bán xe Mazda Cx5 2025 2.0 premium phiên bản sport, tên tư nhân sử dụng từ mới xe đi 1 vạn km. Xe được trang bị nhiều tiện ích như:
- Động cơ 2.0 mạnh mẽ - Hệ thống ABS, túi khí - Gương kính chỉnh điện, hub kính, cảnh báo lệch làn - Chìa khóa điện, điều hoà tự động - Màn hình dvd kết hợp camera lùi
Xe đi 1 vạn km, bảo dưỡng và sử dụng kỹ nên chất lượng nên xe còn rất mới đến 90%, cam kết xe ko đâm va, ko ngập nước, hỗ trợ vay trả góp 75% giá trị xe, lãi suất ưu đãi. Sang tên chỉ mất 2% thuế
để biết thêm thông tin và liên hệ xem xe trực tiếp xin gọi theo sdt xin cảm ơn!"
Mazda 3 1.5L Sport Premium - 2022,579 Triệu,TP HCM,"Mazda
Loading...",3,2022,Xe đã dùng,"36,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.5 L,Đỏ,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Mazda 3 Sport 1.5 Premium Fulloption

- sx 2022. (36 ngìnklm - đẹp lenken )

- Ko lõi nhỏ , bảo dưỡng full hãng .( bao tes toàn quốc

 tr -Quý Khách xem có bớt ạ

 AE-Quý Khách quan tâm lh e :

 Mua bán-trao đổi -giao lưu: vbình . Xin cảm ơn."
Hyundai Custin Cao Cấp 2.0T - 2023,830 Triệu,Hà Nội,"Hyundai
Loading...",Custin,2023,Xe đã dùng,"29,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Xăng  2.0 L,Trắng,Đen,7 chỗ,5 cửa,FWD - Dẫn động cầu trước,"️ ️ ️Huyndai Custin 2.0T Cao cấp sx 2023
Odo 2v9 zin . 1 chủ từ mới. Full ls hãng
 bản 7 ghế ngồi thương gia 
✓ Luôn cam kết xe đẹp - chất lượng
✓ Bao check test mọi nơi
 Hỗ trợ bank 70%"
Toyota Wigo 1.2G AT - 2019,268 Triệu,Hà Nội,"Toyota
Loading...",Wigo,2019,Xe đã dùng,"87,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,Đỏ,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Chiếc xe hạng A cực lành, bền và tiết kiệm. Đúng chuẩn thương hiệu Toyota. 
✓ Toyota Wigo 1.2G AT sản xuất 2019, nhập khẩu nguyên chiếc Indonesia. Odo: 87,000 KM 
✓ Cam kết: KHÔNG THUỶ KÍCH NGẬP NƯỚC - KHÔNG TU BỔ ĐỘNG CƠ. Keo chỉ zin 
✓ Xe đã lên: Cặp pha Bi LED, ghế bọc da, màn hình Android OLED, Camera hành trình 70mai, Camera lùi…
Một chiếc xe rất phù hợp với các bác đang cần phương tiện đi lại nhỏ gọn, uống xăng như ngửi và che mưa che nắng."
Toyota Corolla altis 1.8G AT - 2009,289 Triệu,Hà Nội,"Toyota
Loading...",Corolla altis,2009,Xe đã dùng,"120,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Bạc,Kem,5 chỗ,4 cửa,FWD - Dẫn động cầu trước,Xe không đâm va tai nạn không ngập nước 1 chủ mua mới từ đầu zin hết siêu đẹp
Hyundai i10 Grand 1.2 AT - 2018,285 Triệu,Hà Nội,"Hyundai
Loading...",i10,2018,Xe đã dùng,"95,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.2 L,Nâu,Nhiều màu,5 chỗ,4 cửa,FWD - Dẫn động cầu trước,xe đẹp không nổi tên tư nhân keo chỉ nguyên máy zin gầm bệ chắc giá trên có thương lượng
Toyota Alphard HEV 2.5 AT - 2024,4 Tỷ 879 Triệu,Hà Nội,"Toyota
Loading...",Alphard,2024,Xe đã dùng,"10,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Hybrid  2.5 L,Đen,Kem,7 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Chuyên cơ mặt đất Toyota Alphard HEV 2024 sẵn sàng giao ngay phục vụ các chủ tịch đi Tết 
▪️ Xe sản xuất 2024 
▪️ Màu đen nội thất kem 
▪️ Lăn bánh 10.000 km 
▪️ Option miên man: Ghế thương gia massage, sưởi làm mát, màn hình tv, rèm điện, cửa sổ trời bán phần….
✓ Xe cam kết không đâm đụng ngập nước
✓ Hỗ trợ trả góp thủ tục đơn giản"
Mercedes Benz GLC 200 4Matic - 2022,1 Tỷ 459 Triệu,TP HCM,"Mercedes Benz
Loading...",GLC,2022,Xe đã dùng,"34,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đỏ,Đen,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"MERCEDES-BENZ GLC 200 4MATIC V1 2022
✓ Sản xuất và đăng ký năm 2022.
✓ Ngoại thất Đỏ( Wrap Trắng)/ nội thất Đen.
✓ Odo 34.000 Km.

⚙️ Option nổi bật:
 Hệ thống giải trí MBUX với màn hình cảm ứng 10.25 inch, kết nối Bluetooth, và chức năng điều khiển bằng giọng nói LINGUATRONIC chỉ bằng một câu lệnh.
 Hệ thống âm thanh vòm Burmester® với 13 loa, công suất tối đa 590W cùng chức năng kết nối Apple Carplay® và Android Auto mang lại trải nghiệm âm thanh đỉnh cao.
 Hệ thống khóa xe thông minh, khóa cửa điều khiển từ xa, mã hóa động cơ chống trộm, khởi động bằng nút bấm KEYLESS-GO.
 Đồng hồ hiển thị nhiệt độ ngoài trời, tấm che khoang hành lý phía sau, chức năng đóng mở cửa sau bằng điện EASY-PACK, chức năng HANDS-FREE ACCESS.
 Ghế chỉnh điện và nhớ ghế, chức năng ECO start/stop, cần số, lẫy chuyển số, cụm chuyển đổi DYNAMIC SELECT.
 Gương chiếu hậu chống chói tự động; gương chiếu hậu bên ngoài chinh & gập điện.
 Cụm đèn trước LED toàn phần (Full-LED) thiết kế mới, tích hợp đèn LED chiếu sáng ban ngày.

⚙️ Trang bị đầy đủ hệ thống an toàn tiện nghi hàng đầu:
 Hệ thống lái Direct-Steer trợ lực điện với trợ lực & ti số truyền lái biến thiên theo tốc độ.
 Các túi khí phía trước, bên hông, cửa sổ và bảo vệ đầu gối người lái đảm bảo an toàn tối đa cho tất cả hành khách.
 Dây đai an toàn 3 điểm cho tất cả các ghế với bộ căng đai khẩn cấp & giới hạn lực siết.
 Hệ thống treo thích ứng AGILITY CONTROL.
 Tín hiệu âm thanh khi khóa cửa.
 Đèn phanh Adaptive nhắp nháy khi phanh gấp.
 Hệ thống phanh ADAPTIVE với chức năng hỗ trợ dừng xe (HOLD) và hỗ trợ khởi hành ngang đốc (Hill-Start Assist).
 Hệ thống chống bó cứng phanh ABS; Hỗ trợ lực phanh khẩn cấp BAS; Chống trượt khi tăng tốc ASR; Ổn định thân xe điện tử ESP.
 Chức năng cảnh báo mắt tập trung ATTENTION ASSIST.
 Các tính năng hỗ trợ lái xe.
 Active Brake Assist: Hỗ trợ phanh khẩn cấp.
 Cảnh báo khi có phương tiện trong điểm mù.
 Giúp giữ xe trong làn đường.
 Hệ thống giám sát camera 360."
Peugeot 3008 1.6 AT - 2019,538 Triệu,Hà Nội,"Peugeot
Loading...",3008,2019,Xe đã dùng,"91,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Xanh,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Oto đại phát đang bán chiếc Peugeut 3008 sản xuất 2019 đăng ký 2020 phiên bản faylip full otion . Xe được trang bị cửa sổ trời toàn cảnh padaroma đề statstop và rất nhiều các tính năng khc , đúng nghĩa của chiếc xe mang phong cách hiện đại (bầu trời công nghệ)hỗ trợ vay vốn lên đến 70/% phù hợp với người đang tìm mầu này"
Mercedes Benz GLC 300 4Matic - 2018,1 Tỷ 29 Triệu,Hà Nội,"Mercedes Benz
Loading...",GLC,2018,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Kem,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"AUTO31 
Hàng Vừa Về 
GLC300 Sản Xuất 2018 
Màu đen/nội thất kem 
Xe đi : 5 vạn km Cực mới 

 Đ/C : 33 đường Nguyễn văn cừ - phường Bồ đề - Hà Nội"
Hyundai SantaFe Cao cấp 2.5L HTRAC - 2021,980 Triệu,Hà Nội,"Hyundai
Loading...",SantaFe,2021,Xe đã dùng,"45,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.5 L,Xanh,Nâu,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Hyundai Santafe 2.5 máy xăng bản Premium sản xuất 2021 phom mới số điện cá nhân 1 chủ mua mới Odo 4,5 vạn Km. Xe bảo dưỡng thay dầu đầy đủ tại hãng.
- Hyundai Santafe 2.5 máy xăng Premium mang nhiều điểm nổi bật :
• Thiết kế: Santa Fe 2021 phom mới có thiết kế mới, hiện đại và rộng rãi hàng ghế thứ 3 khá tiện cho gia đình.
• Không gian: Với 3 hàng ghế, phù hợp cho 7 người (hoặc 5 người + hành lý khi gập hàng thứ 3).
• Trang bị an toàn & tiện nghi: Bản Premium có nhiều tiện nghi hơn, như ghế da, chỉnh điện, công nghệ an toàn bổ sung.
• Tính đa dụng: Là SUV 7 chỗ, phù hợp cả di chuyển trong thành phố và đi đường dài.
- Chất xe bao đẹp, máy số, khung gầm, keo chỉ zin
- Bao check test, cam kết chất lượng bằng văn bản
- Hỗ trợ bank tới 70% giá trị xe
* Tuấn Hưng Auto cam kết chất lượng xe chuẩn, không đâm đụng tai nạn, không ngập nước, máy móc động cơ khung gầm nguyên bản, pháp lý rõ ràng: không tranh chấp, không có phạt nguội…
* Tuấn Hưng Auto nhận trao đổi, mua bán các dòng xe đã qua sử dụng"
Mercedes Benz E class E200 Exclusive - 2022,1 Tỷ 579 Triệu,Hà Nội,"Mercedes Benz
Loading...",E class,2022,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,Nâu,5 chỗ,4 cửa,RFD - Dẫn động cầu sau,"Mercedes E 200 exclusive V1 sx 2022 đen/nt nâu với nhiều option có tiền k mua đc
- Odo 4vạn km full lịch sử hãng
- Thông tin xe
• Mercedes E200 Exclusive V1 – Sản xuất 2022
• Ngoại thất Đen lịch lãm
• Nội thất da cao cấp kết hợp ốp gỗ sang trọng
• Odo: 10.000 km – xe đi cực ít, gần như mới

Option nổi bật
• Hệ thống 2 màn hình kép dài đặc trưng của Mercedes
• Đèn LED High Performance hiện đại
• Ghế da chỉnh điện, nhớ vị trí
• Ốp gỗ nội thất cao cấp sang trọng
• Âm thanh Burmester cao cấp
• Điều hòa tự động đa vùng
• Camera 360 + cảm biến quanh xe + Cảnh báo điểm mù
• Vô lăng đa chức năng bọc da"
Mazda CX5 Premium Sport 2.0 AT - 2025,830 Triệu,Hà Nội,"Mazda
Loading...",CX5,2025,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Xanh,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Bán xe Mazda Cx5 2025 2.0 premium phiên bản sport, tên tư nhân sử dụng từ mới xe đi 1 vạn km. Xe được trang bị nhiều tiện ích như:
- Động cơ 2.0 mạnh mẽ - Hệ thống ABS, túi khí - Gương kính chỉnh điện, hub kính, cảnh báo lệch làn - Chìa khóa điện, điều hoà tự động - Màn hình dvd kết hợp camera lùi
Xe đi 1 vạn km, bảo dưỡng và sử dụng kỹ nên chất lượng nên xe còn rất mới đến 90%, cam kết xe ko đâm va, ko ngập nước, hỗ trợ vay trả góp 75% giá trị xe, lãi suất ưu đãi. Sang tên chỉ mất 2% thuế
để biết thêm thông tin và liên hệ xem xe trực tiếp xin gọi theo sdt xin cảm ơn!"
