brand model                                    name  count
 audi    a1                        audi a1 1.4 tfsi      2
 audi    a1                     audi a1 2.0t s line      2
 audi    a3                          audi a3 1.4 at      1
 audi    a3                          audi a3 1.8 at      2
 audi    a3              audi a3 sportback 1.8 tfsi      1
 audi    a4                        audi a4 1.8 tfsi      8
 audi    a4                            audi a4 1.8t      1
 audi    a4                        audi a4 2.0 tfsi      7
 audi    a4                    audi a4 2.0t quattro      3
 audi    a4                audi a4 40 tfsi advanced      2
 audi    a4           audi a4 40 tfsi advanced plus      1
 audi    a5                   audi a5 2.0 t quattro      4
 audi    a5                   audi a5 sportback 2.0      8
 audi    a6                        audi a6 1.8 tfsi      9
 audi    a6                        audi a6 2.0 tfsi      6
 audi    a6                            audi a6 2.0t      3
 audi    a6                    audi a6 3.0t quattro      2
 audi    a6                         audi a6 45 tfsi     15
 audi    a6                 audi a6 55 tfsi quattro      1
 audi    a7                        audi a7 3.0 tfsi      3
 audi    a7                         audi a7 45 tfsi      1
 audi    a7                 audi a7 55 tfsi quattro      1
 audi    a8                 audi a8 55 tfsi quattro      1
 audi    a8                   audi a8 l 3.0 quattro      3
 audi    a8                   audi a8 l 4.2 quattro      2
 audi    a8               audi a8 l 55 tfsi quattro      5
 audi    a8                   audi a8 l v6 3.0 tfsi      5
 audi    q2                        audi q2 1.0 tfsi      4
 audi    q2                        audi q2 1.4 tfsi      9
 audi    q2                         audi q2 30 tfsi      1
 audi    q3                     audi q3 2.0 quattro      5
 audi    q3                         audi q3 35 tfsi      2
 audi    q3  audi q3 35 tfsi advanced black edition      4
 audi    q3      audi q3 exclusive 2.0 tfsi quattro      1
 audi    q5                          audi q5 2.0 at     29
 audi    q5                 audi q5 45 tfsi quattro     16
 audi    q5           audi q5 sline 45 tfsi quattro     22
 audi    q5 audi q5 sportback sline 45 tfsi quattro     13
 audi    q7                          audi q7 2.0 at     12
 audi    q7                          audi q7 3.0 at      4
 audi    q7                          audi q7 3.6 at      2
 audi    q7                          audi q7 4.2 at      2
 audi    q7                 audi q7 45 tfsi quattro      5
 audi    q7                 audi q7 55 tfsi quattro      2
 audi    q7                   audi q7 s line 3.6 at      1
 audi    q8          audi q8 55 tfsi s line quattro      5
 audi    r8                          audi r8 4.2 v8      1
 audi    r8                         audi r8 5.2 v10      1
 audi    s5   audi s5 sportback 3.0 tfsi quattro at      1
 audi    tt                        audi tt 2.0 tfsi     10
 audi    tt             audi tt roadster s line 2.0      1
 audi    tt                    audi tt rs 3.2 quaro      1
 audi    tt                        audi tt s 2.0 at      1
 audi    tt                      audi tt s 2.0 tfsi      1
 audi    tt                      audi tt s line 2.0      1
