  brand        model                                         name  count
hyundai       accent                        hyundai accent 1.4 at    127
hyundai       accent                hyundai accent 1.4 at special     79
hyundai       accent                       hyundai accent 1.4 ath     47
hyundai       accent                        hyundai accent 1.4 mt     54
hyundai       accent                   hyundai accent 1.4 mt base     22
hyundai       accent                        hyundai accent 1.5 at     16
hyundai       accent                        hyundai accent 1.5 mt      6
hyundai       accent                hyundai accent premium 1.5 at      7
hyundai       accent                hyundai accent special 1.5 at     11
hyundai       avante                        hyundai avante 1.6 at     10
hyundai       avante                        hyundai avante 1.6 mt      7
hyundai        azera                         hyundai azera 3.3 at      1
hyundai       county                          hyundai county 3.9l      1
hyundai        creta                         hyundai creta 1.6 at      1
hyundai        creta                    hyundai creta base 1.5 at     24
hyundai        creta                 hyundai creta premium 1.5 at     31
hyundai        creta                 hyundai creta special 1.5 at     41
hyundai       custin                     hyundai custin base 1.5t     15
hyundai       custin                  hyundai custin premium 1.5t      1
hyundai       custin                  hyundai custin premium 2.0t     38
hyundai       custin                  hyundai custin special 1.5t     14
hyundai      elantra                       hyundai elantra 1.6 at     17
hyundai      elantra                  hyundai elantra 1.6 at base      5
hyundai      elantra               hyundai elantra 1.6 at special     24
hyundai      elantra                       hyundai elantra 1.6 mt     14
hyundai      elantra                       hyundai elantra 1.8 at      2
hyundai      elantra                       hyundai elantra 2.0 at     22
hyundai      elantra               hyundai elantra 2.0 at premium      6
hyundai      elantra          hyundai elantra n line 1.6 turbo at      7
hyundai      elantra                 hyundai elantra sport 1.6 at     19
hyundai          eon                           hyundai eon 0.8 mt      2
hyundai        equus                         hyundai equus vs 460      1
hyundai     galloper                      hyundai galloper 2.5 at      1
hyundai      genesis                       hyundai genesis 2.0 at      6
hyundai      genesis                          hyundai genesis 3.3      1
hyundai      genesis                       hyundai genesis 3.8 v6      1
hyundai         getz                          hyundai getz 1.1 mt     11
hyundai         getz                          hyundai getz 1.4 at      6
hyundai         getz                          hyundai getz 1.4 mt      2
hyundai grand starex                  hyundai grand starex 2.4 mt      5
hyundai grand starex                  hyundai grand starex 2.5 mt     23
hyundai grand starex        hyundai grand starex ambulance 2.5 mt      1
hyundai grand starex        hyundai grand starex limousine 2.4 at      1
hyundai grand starex              hyundai grand starex van 2.4 mt      5
hyundai grand starex              hyundai grand starex van 2.5 at      6
