brand    model                                    name  count
  kia   carens            kia carens 1.4t signature 7s      6
  kia   carens                 kia carens 1.5d premium      2
  kia   carens            kia carens 1.5d signature 7s      2
  kia   carens                     kia carens 1.5g ivt      5
  kia   carens                  kia carens 1.5g luxury     24
  kia   carens                       kia carens 2.0 at      2
  kia   carens                  kia carens crdi 2.0 at      2
  kia   carens                    kia carens ex 2.0 mt      2
  kia   carens                         kia carens exmt      6
  kia   carens                    kia carens lx 1.6 mt      2
  kia   carens                  kia carens s sx 2.0 at      3
  kia   carens                    kia carens sx 2.0 at      8
  kia   carens                         kia carens sxat      5
  kia   carens                         kia carens sxmt      3
  kia carnival                  kia carnival gs 2.5 at      6
  kia carnival                kia carnival luxury 2.2d     21
  kia carnival               kia carnival premium 2.2d     28
  kia carnival            kia carnival premium 2.2d 7s     13
  kia carnival            kia carnival premium 2.2d 8s     15
  kia carnival                 kia carnival royal 2.2d     16
  kia carnival kia carnival signature 1.6 turbo hev 7s      4
  kia carnival             kia carnival signature 2.2d    259
  kia carnival             kia carnival signature 3.5g     13
  kia   cerato                       kia cerato 1.6 at     58
  kia   cerato                kia cerato 1.6 at deluxe      7
  kia   cerato                kia cerato 1.6 at luxury     58
  kia   cerato                       kia cerato 1.6 mt     32
  kia   cerato                       kia cerato 2.0 at     11
  kia   cerato               kia cerato 2.0 at premium     48
  kia   cerato                  kia cerato koup 1.6 at      1
  kia   cerato                  kia cerato koup 2.0 at      8
  kia    forte                        kia forte 1.6 mt      1
  kia    forte                     kia forte ex 1.6 mt      3
  kia    forte                    kia forte gdi 1.6 at      2
  kia    forte                   kia forte koup 1.6 at      2
  kia    forte                   kia forte koup 2.0 at      1
  kia    forte                      kia forte s 1.6 at      2
  kia    forte                     kia forte si 1.6 at      2
  kia    forte                    kia forte sli 1.6 at      5
  kia    forte                     kia forte sx 1.6 at     13
  kia    forte                     kia forte sx 1.6 mt      3
  kia frontier            kia frontier k140 closed box      1
  kia frontier            kia frontier k165 closed box      5
  kia frontier            kia frontier k200 closed box      2
  kia frontier            kia frontier k250 canvas box      1
  kia frontier            kia frontier k250 closed box      1
