  brand     model                              name  count
peugeot       107                peugeot 107 1.0 at      2
peugeot      2008        peugeot 2008 active 1.2 at     15
peugeot      2008            peugeot 2008 gt 1.2 at      5
peugeot      2008       peugeot 2008 gt line 1.2 at     50
peugeot       203      peugeot 203 cabriolet 1.3 mt      1
peugeot       208                peugeot 208 1.6 at      2
peugeot      3008               peugeot 3008 1.6 at     35
peugeot      3008            peugeot 3008 1.6 at fl      3
peugeot      3008        peugeot 3008 active 1.6 at      6
peugeot      3008                   peugeot 3008 al     28
peugeot      3008               peugeot 3008 allure     10
peugeot      3008        peugeot 3008 allure 1.6 at     18
peugeot      3008                   peugeot 3008 at      8
peugeot      3008                   peugeot 3008 gt     20
peugeot      3008              peugeot 3008 premium      3
peugeot       308        peugeot 308 gt line 1.6 at      1
peugeot       408         peugeot 408 allure 1.6 at     13
peugeot       408         peugeot 408 deluxe 2.0 at      1
peugeot       408             peugeot 408 gt 1.6 at     19
peugeot       408 peugeot 408 legend premium 1.6 at      1
peugeot       408        peugeot 408 premium 1.6 at      4
peugeot       408        peugeot 408 premium 2.0 at      4
peugeot      5008               peugeot 5008 1.6 at     15
peugeot      5008        peugeot 5008 active 1.6 at      1
peugeot      5008            peugeot 5008 al 1.6 at      4
peugeot      5008        peugeot 5008 allure 1.6 at     16
peugeot      5008            peugeot 5008 gt 1.6 at     28
peugeot      5008              peugeot 5008 premium      7
peugeot       508                peugeot 508 1.6 at      2
peugeot traveller          peugeot traveller luxury      1
peugeot traveller         peugeot traveller premium      1
