 brand         model                                   name  count
toyota      4 runner                    toyota 4 runner 3.0      1
toyota      4 runner                    toyota 4 runner sr5      1
toyota            86                       toyota 86 2.0 at      1
toyota       alphard                  toyota alphard 2.4 at     19
toyota       alphard                  toyota alphard 3.5 v6      1
toyota       alphard        toyota alphard executive lounge      1
toyota       alphard              toyota alphard hev 2.5 at      2
toyota       alphard toyota alphard luxury executive lounge     50
toyota        avanza                   toyota avanza 1.3 mt      1
toyota        avanza                   toyota avanza 1.5 at      4
toyota        avanza            toyota avanza premio 1.5 at     28
toyota        avanza            toyota avanza premio 1.5 mt     11
toyota          aygo                     toyota aygo 1.0 at      5
toyota         camry                    toyota camry 1.8 mt      1
toyota         camry                      toyota camry 2.0e     56
toyota         camry                      toyota camry 2.0g     32
toyota         camry                      toyota camry 2.0q     55
toyota         camry                      toyota camry 2.4g     58
toyota         camry               toyota camry 2.5 hev mid      1
toyota         camry               toyota camry 2.5 hev top      5
toyota         camry                      toyota camry 2.5g      7
toyota         camry                     toyota camry 2.5hv      8
toyota         camry                      toyota camry 2.5q    128
toyota         camry                      toyota camry 3.0v      7
toyota         camry                      toyota camry 3.5q      5
toyota         camry                 toyota camry gl 2.2 mt      1
toyota         camry                   toyota camry gli 2.2      9
toyota         camry             toyota camry grande 3.0 at      1
toyota         camry             toyota camry grande 3.0 v6      4
toyota         camry                 toyota camry le 2.0 at      1
toyota         camry                 toyota camry le 2.2 at      2
toyota         camry                    toyota camry le 2.4     13
toyota         camry                    toyota camry le 2.5     15
toyota         camry                 toyota camry le 3.0 at      1
toyota         camry                    toyota camry se 2.4      1
toyota         camry                    toyota camry se 2.5      3
toyota         camry                 toyota camry se 2.5 at      1
toyota         camry                   toyota camry xle 2.5      1
toyota         camry                toyota camry xle 2.5 at      1
toyota         camry                   toyota camry xle 3.5      1
toyota         camry                   toyota camry xli 2.2      1
toyota       corolla              toyota corolla gli 1.6 mt      3
toyota       corolla                 toyota corolla gli 1.8      1
toyota       corolla              toyota corolla gli 1.8 at      2
toyota       corolla                   toyota corolla s 1.8      1
toyota       corolla                toyota corolla s 1.8 mt      1
toyota       corolla              toyota corolla xli 1.6 at      7
toyota       corolla              toyota corolla xli 1.8 at      3
toyota corolla altis           toyota corolla altis 1.8e at      6
toyota corolla altis              toyota corolla altis 1.8g      1
toyota corolla altis           toyota corolla altis 1.8g at     99
toyota corolla altis           toyota corolla altis 1.8g mt     33
toyota corolla altis              toyota corolla altis 1.8v     18
toyota corolla altis              toyota corolla altis 2.0v     22
toyota corolla altis        toyota corolla altis 2.0v sport      1
toyota corolla cross              toyota corolla cross 1.8g     35
toyota corolla cross            toyota corolla cross 1.8hev      3
toyota corolla cross             toyota corolla cross 1.8hv     14
toyota corolla cross              toyota corolla cross 1.8v    161
toyota        corona                  toyota corona gli 2.0      4
toyota      cressida                 toyota cressida gl 2.4      1
toyota         crown       toyota crown royal saloon 3.0 at      1
toyota         crown         toyota crown super saloon 2.8i      1
toyota         crown       toyota crown super saloon 3.0 mt      5
toyota      fortuner                toyota fortuner 2.4g at     68
toyota      fortuner       toyota fortuner 2.4g at legender     10
toyota      fortuner                toyota fortuner 2.4g mt     78
toyota      fortuner                toyota fortuner 2.4l at     37
toyota      fortuner                toyota fortuner 2.4l mt      5
toyota      fortuner                   toyota fortuner 2.5g     71
toyota      fortuner                toyota fortuner 2.7l at      3
toyota      fortuner                toyota fortuner 2.7v at    137
toyota      fortuner            toyota fortuner 2.7v at trd      3
toyota      fortuner                toyota fortuner 2.8v at      8
toyota      fortuner       toyota fortuner 2.8v at legender      2
toyota      fortuner       toyota fortuner legender 2.4l at     21
toyota      fortuner       toyota fortuner legender 2.7l at      4
toyota      fortuner       toyota fortuner legender 2.8l at      4
toyota      fortuner             toyota fortuner sr5 2.7 at      1
toyota      fortuner        toyota fortuner trd sportivo at     20
toyota         hiace                       toyota hiace 2.0      1
toyota         hiace                       toyota hiace 2.4      1
toyota         hiace                       toyota hiace 2.5     10
toyota         hiace                       toyota hiace 2.7      2
toyota         hiace                    toyota hiace 2.8 mt      1
toyota         hiace                       toyota hiace 3.0      2
toyota         hiace                   toyota hiace van 2.0      1
toyota         hiace                   toyota hiace van 2.4      2
toyota         hiace                   toyota hiace van 2.5      5
toyota    highlander               toyota highlander le 2.7      6
toyota    highlander          toyota highlander limited 3.5      1
toyota    highlander               toyota highlander se 2.7      6
